view,dataset,jitter_sigma_A_per_axis,cutoff_A,prior_sigma_A,mean_pct,std_pct
cutoff,astex,0,6,2,90.58823529411764,1.7404671430534633e-14
cutoff,astex,0,8,2,96.07843137254902,0.6792356108113302
cutoff,astex,0,10,2,96.4705882352941,1.176470588235297
cutoff,astex,0,12,2,97.25490196078431,1.7970885078258272
cutoff,astex,0,14,2,97.25490196078431,1.7970885078258272
prior_sigma,astex,0,10,1,97.25490196078431,1.3584712216226522
prior_sigma,astex,0,10,2,96.4705882352941,1.176470588235297
prior_sigma,astex,0,10,4,95.29411764705883,3.1126486012524563
cutoff,astex,1,6,2,86.27450980392156,2.449018822901332
cutoff,astex,1,8,2,92.94117647058823,1.17647058823529
cutoff,astex,1,10,2,95.68627450980391,0.6792356108113302
cutoff,astex,1,12,2,96.07843137254902,0.6792356108113302
cutoff,astex,1,14,2,94.11764705882354,2.352941176470587
prior_sigma,astex,1,10,1,92.15686274509802,4.4540457614119715
prior_sigma,astex,1,10,2,95.68627450980391,0.6792356108113302
prior_sigma,astex,1,10,4,94.50980392156862,1.358471221622644
cutoff,astex,2,6,2,71.76470588235294,7.058823529411768
cutoff,astex,2,8,2,81.96078431372548,5.803391602724992
cutoff,astex,2,10,2,85.09803921568628,4.4540457614119795
cutoff,astex,2,12,2,85.88235294117648,5.1281164041655005
cutoff,astex,2,14,2,85.49019607843138,6.037178164055158
prior_sigma,astex,2,10,1,75.29411764705883,4.241825029957633
prior_sigma,astex,2,10,2,85.09803921568628,4.4540457614119795
prior_sigma,astex,2,10,4,87.05882352941177,6.225297202504921
cutoff,posebusters,0,6,2,86.03896103896103,0.9740259740259702
cutoff,posebusters,0,8,2,94.26406926406928,0.4959497505363403
cutoff,posebusters,0,10,2,94.58874458874459,0.1874513861005285
cutoff,posebusters,0,12,2,95.34632034632034,0.6758655842422532
cutoff,posebusters,0,14,2,95.23809523809524,0.495949750536348
prior_sigma,posebusters,0,10,1,94.48051948051948,0.3246753246753187
prior_sigma,posebusters,0,10,2,94.58874458874459,0.1874513861005285
prior_sigma,posebusters,0,10,4,92.85714285714285,0.9740259740259773
cutoff,posebusters,1,6,2,80.41125541125541,1.9837990021453842
cutoff,posebusters,1,8,2,90.47619047619048,1.0436851472936053
cutoff,posebusters,1,10,2,92.20779220779222,1.1247083166031708
cutoff,posebusters,1,12,2,93.29004329004329,1.0436851472936053
cutoff,posebusters,1,14,2,93.3982683982684,1.229200940649406
prior_sigma,posebusters,1,10,1,88.85281385281387,1.7881722556123687
prior_sigma,posebusters,1,10,2,92.20779220779222,1.1247083166031708
prior_sigma,posebusters,1,10,4,91.88311688311688,1.1706335309947977
cutoff,posebusters,2,6,2,64.17748917748918,0.8170816488388256
cutoff,posebusters,2,8,2,77.59740259740259,2.1290384819162345
cutoff,posebusters,2,10,2,80.41125541125541,2.836654203913672
cutoff,posebusters,2,12,2,81.06060606060606,2.7228886635084613
cutoff,posebusters,2,14,2,80.3030303030303,2.087370294587216
prior_sigma,posebusters,2,10,1,70.56277056277057,1.78817225561237
prior_sigma,posebusters,2,10,2,80.41125541125541,2.836654203913672
prior_sigma,posebusters,2,10,4,85.38961038961038,2.2727272727272734
