dataset,cutoff_A,jitter_sigma_A_per_axis,metric,mean_pct,std_pct
astex,6,0,selected_rmsd_lt2,79.2156862745098,2.9607193863806898
astex,6,0,posebusters_valid,93.33333333333333,1.797088507825821
astex,6,0,joint_rmsd_lt2_pb_valid,76.07843137254902,3.5941770156516406
astex,6,0,oracle_rmsd_lt2,92.15686274509804,0.679235610811322
astex,6,1,selected_rmsd_lt2,76.07843137254902,0.679235610811322
astex,6,1,posebusters_valid,94.11764705882354,1.176470588235297
astex,6,1,joint_rmsd_lt2_pb_valid,72.94117647058823,0.0
astex,6,1,oracle_rmsd_lt2,89.80392156862744,0.6792356108113302
astex,6,2,selected_rmsd_lt2,67.05882352941177,3.529411764705884
astex,6,2,posebusters_valid,89.41176470588235,1.176470588235297
astex,6,2,joint_rmsd_lt2_pb_valid,63.13725490196078,3.7818238278403733
astex,6,2,oracle_rmsd_lt2,80.0,4.241825029957633
astex,8,0,selected_rmsd_lt2,81.9607843137255,1.797088507825821
astex,8,0,posebusters_valid,93.72549019607844,0.6792356108113302
astex,8,0,joint_rmsd_lt2_pb_valid,78.43137254901961,1.797088507825821
astex,8,0,oracle_rmsd_lt2,96.07843137254902,1.358471221622644
astex,8,1,selected_rmsd_lt2,80.0,5.882352941176464
astex,8,1,posebusters_valid,94.90196078431373,0.679235610811322
astex,8,1,joint_rmsd_lt2_pb_valid,76.86274509803921,5.9214387727613715
astex,8,1,oracle_rmsd_lt2,93.33333333333333,0.6792356108113302
astex,8,2,selected_rmsd_lt2,71.37254901960785,6.037178164055158
astex,8,2,posebusters_valid,93.33333333333333,2.7169424432452964
astex,8,2,joint_rmsd_lt2_pb_valid,69.01960784313725,4.898037645802664
astex,8,2,oracle_rmsd_lt2,85.09803921568627,5.304999709203408
astex,10,0,selected_rmsd_lt2,82.3529411764706,1.176470588235297
astex,10,0,posebusters_valid,93.33333333333333,0.6792356108113302
astex,10,0,joint_rmsd_lt2_pb_valid,78.0392156862745,1.797088507825821
astex,10,0,oracle_rmsd_lt2,96.47058823529412,1.17647058823529
astex,10,1,selected_rmsd_lt2,81.17647058823529,2.352941176470587
astex,10,1,posebusters_valid,94.11764705882354,0.0
astex,10,1,joint_rmsd_lt2_pb_valid,77.6470588235294,2.352941176470587
astex,10,1,oracle_rmsd_lt2,94.50980392156863,1.7970885078258194
astex,10,2,selected_rmsd_lt2,74.11764705882354,5.882352941176471
astex,10,2,posebusters_valid,92.15686274509804,1.797088507825821
astex,10,2,joint_rmsd_lt2_pb_valid,70.19607843137254,5.559783089708953
astex,10,2,oracle_rmsd_lt2,86.66666666666667,3.7818238278403693
astex,12,0,selected_rmsd_lt2,82.74509803921569,1.7970885078258194
astex,12,0,posebusters_valid,92.94117647058823,1.176470588235297
astex,12,0,joint_rmsd_lt2_pb_valid,78.0392156862745,2.960719386380683
astex,12,0,oracle_rmsd_lt2,97.6470588235294,0.0
astex,12,1,selected_rmsd_lt2,80.3921568627451,4.4540457614119795
astex,12,1,posebusters_valid,94.90196078431373,0.679235610811322
astex,12,1,joint_rmsd_lt2_pb_valid,77.25490196078431,4.898037645802664
astex,12,1,oracle_rmsd_lt2,96.07843137254902,0.679235610811322
astex,12,2,selected_rmsd_lt2,76.86274509803921,6.479494761513062
astex,12,2,posebusters_valid,92.54901960784314,2.449018822901332
astex,12,2,joint_rmsd_lt2_pb_valid,72.54901960784314,5.803391602725001
astex,12,2,oracle_rmsd_lt2,87.84313725490196,4.75464927567927
posebusters,6,0,selected_rmsd_lt2,76.73160173160173,1.6015853449078699
posebusters,6,0,posebusters_valid,91.88311688311688,0.8590101659300649
posebusters,6,0,joint_rmsd_lt2_pb_valid,72.94372294372295,1.7881722556123687
posebusters,6,0,oracle_rmsd_lt2,90.36796536796537,1.3121597027036993
posebusters,6,1,selected_rmsd_lt2,70.77922077922078,1.1706335309948057
posebusters,6,1,posebusters_valid,91.77489177489177,0.495949750536348
posebusters,6,1,joint_rmsd_lt2_pb_valid,67.74891774891775,1.3517311684845006
posebusters,6,1,oracle_rmsd_lt2,85.82251082251082,1.6341632976776495
posebusters,6,2,selected_rmsd_lt2,59.1991341991342,0.6758655842422492
posebusters,6,2,posebusters_valid,87.55411255411255,1.846182046453676
posebusters,6,2,joint_rmsd_lt2_pb_valid,55.84415584415584,0.649350649350648
posebusters,6,2,oracle_rmsd_lt2,74.35064935064935,0.5623541583015854
posebusters,8,0,selected_rmsd_lt2,81.92640692640693,0.18745138610052847
posebusters,8,0,posebusters_valid,93.3982683982684,1.0436851472936053
posebusters,8,0,joint_rmsd_lt2_pb_valid,78.35497835497836,0.37490277220105694
posebusters,8,0,oracle_rmsd_lt2,94.48051948051948,0.3246753246753258
posebusters,8,1,selected_rmsd_lt2,78.78787878787878,0.18745138610052847
posebusters,8,1,posebusters_valid,93.29004329004329,0.4959497505363403
posebusters,8,1,joint_rmsd_lt2_pb_valid,75.21645021645021,0.37490277220105694
posebusters,8,1,oracle_rmsd_lt2,91.88311688311688,1.4152269297210027
posebusters,8,2,selected_rmsd_lt2,66.66666666666667,2.0873702945872186
posebusters,8,2,posebusters_valid,91.45021645021644,1.6661043634567863
posebusters,8,2,joint_rmsd_lt2_pb_valid,63.31168831168831,2.5357953493203387
posebusters,8,2,oracle_rmsd_lt2,80.62770562770562,2.348759135737089
posebusters,10,0,selected_rmsd_lt2,82.68398268398268,0.18745138610052847
posebusters,10,0,posebusters_valid,93.07359307359307,1.3517311684845006
posebusters,10,0,joint_rmsd_lt2_pb_valid,78.8961038961039,0.9740259740259773
posebusters,10,0,oracle_rmsd_lt2,94.26406926406926,0.18745138610052847
