dataset,n,pocket_cutoff_A,center_jitter_sigma_A_per_axis,top1_rmsd_lt2_pct,oracle80_rmsd_lt2_pct,top1_median_rmsd_A,source
astex,85,6,0,47.05882353,88.23529412,2.06098659,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc6-cj0.summary.json
astex,85,8,0,76.47058824,91.76470588,1.08044234,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc8-cj0.summary.json
astex,85,10,0,77.64705882,94.11764706,1.02055717,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc10-cj0.summary.json
astex,85,12,0,76.47058824,94.11764706,1.15907036,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc12-cj0.summary.json
astex,85,6,1,32.94117647,81.17647059,2.56313945,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc6-cj1.summary.json
astex,85,8,1,67.05882353,88.23529412,1.41995561,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc8-cj1.summary.json
astex,85,10,1,69.41176471,90.58823529,1.34316660,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc10-cj1.summary.json
astex,85,12,1,64.70588235,89.41176471,1.59267281,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc12-cj1.summary.json
astex,85,6,2,28.23529412,56.47058824,3.03012274,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc6-cj2.summary.json
astex,85,8,2,45.88235294,62.35294118,2.26697354,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc8-cj2.summary.json
astex,85,10,2,42.35294118,64.70588235,2.27632949,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc10-cj2.summary.json
astex,85,12,2,44.70588235,61.17647059,2.35288162,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-astex-pc12-cj2.summary.json
posebusters,308,6,0,44.80519481,82.46753247,2.28411243,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc6-cj0.summary.json
posebusters,308,8,0,65.58441558,92.53246753,1.37991948,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc8-cj0.summary.json
posebusters,308,10,0,73.37662338,93.18181818,1.28910689,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc10-cj0.summary.json
posebusters,308,12,0,71.75324675,93.50649351,1.31463506,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc12-cj0.summary.json
posebusters,308,6,1,40.25974026,75.97402597,2.50414067,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc6-cj1.summary.json
posebusters,308,8,1,54.87012987,84.74025974,1.81548737,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc8-cj1.summary.json
posebusters,308,10,1,58.76623377,85.06493506,1.65296344,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc10-cj1.summary.json
posebusters,308,12,1,57.79220779,85.71428571,1.74967709,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc12-cj1.summary.json
posebusters,308,6,2,20.77922078,51.62337662,3.99446753,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc6-cj2.summary.json
posebusters,308,8,2,30.51948052,59.41558442,2.97849633,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc8-cj2.summary.json
posebusters,308,10,2,34.09090909,55.51948052,2.88306247,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc10-cj2.summary.json
posebusters,308,12,2,30.84415584,50.64935065,2.99639713,outputs/benchmarks/pocket_sensitivity_n80_s25_v2/raw/effdock-pocket-sens-n80-s25-v2-posebusters-pc12-cj2.summary.json
