dataset,n,pocket_cutoff_A,metric,mean_pct,sample_std_pct,repeats
astex,85,6,selected_rmsd_lt2,79.21568627,2.96071939,3
astex,85,8,selected_rmsd_lt2,81.96078431,1.79708851,3
astex,85,10,selected_rmsd_lt2,82.35294118,1.17647059,3
astex,85,12,selected_rmsd_lt2,82.74509804,1.79708851,3
astex,85,6,joint_rmsd_lt2_pb_valid,76.07843137,3.59417702,3
astex,85,8,joint_rmsd_lt2_pb_valid,78.43137255,1.79708851,3
astex,85,10,joint_rmsd_lt2_pb_valid,78.03921569,1.79708851,3
astex,85,12,joint_rmsd_lt2_pb_valid,78.03921569,2.96071939,3
astex,85,6,posebusters_valid,93.33333333,1.79708851,3
astex,85,8,posebusters_valid,93.72549020,0.67923561,3
astex,85,10,posebusters_valid,93.33333333,0.67923561,3
astex,85,12,posebusters_valid,92.94117647,1.17647059,3
astex,85,6,oracle_rmsd_lt2,92.15686275,0.67923561,3
astex,85,8,oracle_rmsd_lt2,96.07843137,1.35847122,3
astex,85,10,oracle_rmsd_lt2,96.47058824,1.17647059,3
astex,85,12,oracle_rmsd_lt2,97.64705882,0.00000000,3
posebusters,308,6,selected_rmsd_lt2,76.73160173,1.60158534,3
posebusters,308,8,selected_rmsd_lt2,81.92640693,0.18745139,3
posebusters,308,10,selected_rmsd_lt2,82.68398268,0.18745139,3
posebusters,308,12,selected_rmsd_lt2,83.54978355,0.99189950,3
posebusters,308,6,joint_rmsd_lt2_pb_valid,72.94372294,1.78817226,3
posebusters,308,8,joint_rmsd_lt2_pb_valid,78.35497835,0.37490277,3
posebusters,308,10,joint_rmsd_lt2_pb_valid,78.89610390,0.97402597,3
posebusters,308,12,joint_rmsd_lt2_pb_valid,79.97835498,0.81708165,3
posebusters,308,6,posebusters_valid,91.88311688,0.85901017,3
posebusters,308,8,posebusters_valid,93.39826840,1.04368515,3
posebusters,308,10,posebusters_valid,93.07359307,1.35173117,3
posebusters,308,12,posebusters_valid,93.72294372,0.37490277,3
posebusters,308,6,oracle_rmsd_lt2,90.36796537,1.31215970,3
posebusters,308,8,oracle_rmsd_lt2,94.48051948,0.32467532,3
posebusters,308,10,oracle_rmsd_lt2,94.26406926,0.18745139,3
posebusters,308,12,oracle_rmsd_lt2,95.12987013,0.32467532,3
