dataset,prior_sigma_A,jitter_sigma_A_per_axis,metric,mean_pct,std_pct
astex,1,0,joint_rmsd_lt2_pb_valid,80.7843137254902,1.3584712216226522
astex,1,1,joint_rmsd_lt2_pb_valid,81.56862745098039,1.797088507825821
astex,1,2,joint_rmsd_lt2_pb_valid,66.66666666666666,2.449018822901332
astex,2,0,joint_rmsd_lt2_pb_valid,78.0392156862745,1.797088507825821
astex,2,1,joint_rmsd_lt2_pb_valid,77.6470588235294,2.352941176470587
astex,2,2,joint_rmsd_lt2_pb_valid,70.19607843137254,5.559783089708953
astex,4,0,joint_rmsd_lt2_pb_valid,76.07843137254902,0.679235610811322
astex,4,1,joint_rmsd_lt2_pb_valid,75.68627450980392,2.7169424432452964
astex,4,2,joint_rmsd_lt2_pb_valid,69.80392156862744,2.960719386380683
posebusters,1,0,joint_rmsd_lt2_pb_valid,77.81385281385282,1.229200940649409
posebusters,1,1,joint_rmsd_lt2_pb_valid,72.94372294372295,1.3517311684844984
posebusters,1,2,joint_rmsd_lt2_pb_valid,59.09090909090909,3.5119005929844063
posebusters,2,0,joint_rmsd_lt2_pb_valid,78.8961038961039,0.9740259740259773
posebusters,2,1,joint_rmsd_lt2_pb_valid,75.54112554112554,0.8170816488388285
posebusters,2,2,joint_rmsd_lt2_pb_valid,65.58441558441558,2.0275967527267516
posebusters,4,0,joint_rmsd_lt2_pb_valid,74.24242424242424,0.37490277220105694
posebusters,4,1,joint_rmsd_lt2_pb_valid,71.1038961038961,0.8590101659300649
posebusters,4,2,joint_rmsd_lt2_pb_valid,66.99134199134198,1.6015853449078699
