dataset,stage,arm,k,success_count,complexes,sr_pct,learned_model_evaluations_per_complex
astex,raw,s10_n100,1,22,85,25.88235294117647,10
astex,raw,s10_n100,2,33,85,38.8235294117647,20
astex,raw,s10_n100,3,36,85,42.35294117647059,30
astex,raw,s10_n100,4,47,85,55.294117647058826,40
astex,raw,s10_n100,5,51,85,60.0,50
astex,raw,s10_n100,6,56,85,65.88235294117646,60
astex,raw,s10_n100,7,60,85,70.58823529411765,70
astex,raw,s10_n100,8,63,85,74.11764705882354,80
astex,raw,s10_n100,9,65,85,76.47058823529412,90
astex,raw,s10_n100,10,66,85,77.6470588235294,100
astex,raw,s10_n100,11,67,85,78.82352941176471,110
astex,raw,s10_n100,12,67,85,78.82352941176471,120
astex,raw,s10_n100,13,69,85,81.17647058823529,130
astex,raw,s10_n100,14,73,85,85.88235294117646,140
astex,raw,s10_n100,15,73,85,85.88235294117646,150
astex,raw,s10_n100,16,74,85,87.05882352941177,160
astex,raw,s10_n100,17,74,85,87.05882352941177,170
astex,raw,s10_n100,18,76,85,89.41176470588235,180
astex,raw,s10_n100,19,77,85,90.58823529411765,190
astex,raw,s10_n100,20,78,85,91.76470588235294,200
astex,raw,s10_n100,21,78,85,91.76470588235294,210
astex,raw,s10_n100,22,79,85,92.94117647058823,220
astex,raw,s10_n100,23,79,85,92.94117647058823,230
astex,raw,s10_n100,24,79,85,92.94117647058823,240
astex,raw,s10_n100,25,80,85,94.11764705882354,250
astex,raw,s10_n100,26,80,85,94.11764705882354,260
astex,raw,s10_n100,27,80,85,94.11764705882354,270
astex,raw,s10_n100,28,80,85,94.11764705882354,280
astex,raw,s10_n100,29,80,85,94.11764705882354,290
astex,raw,s10_n100,30,80,85,94.11764705882354,300
astex,raw,s10_n100,31,81,85,95.29411764705883,310
astex,raw,s10_n100,32,81,85,95.29411764705883,320
astex,raw,s10_n100,33,81,85,95.29411764705883,330
astex,raw,s10_n100,34,81,85,95.29411764705883,340
astex,raw,s10_n100,35,81,85,95.29411764705883,350
astex,raw,s10_n100,36,81,85,95.29411764705883,360
astex,raw,s10_n100,37,81,85,95.29411764705883,370
astex,raw,s10_n100,38,81,85,95.29411764705883,380
astex,raw,s10_n100,39,81,85,95.29411764705883,390
astex,raw,s10_n100,40,81,85,95.29411764705883,400
astex,raw,s10_n100,41,81,85,95.29411764705883,410
astex,raw,s10_n100,42,81,85,95.29411764705883,420
astex,raw,s10_n100,43,81,85,95.29411764705883,430
astex,raw,s10_n100,44,81,85,95.29411764705883,440
astex,raw,s10_n100,45,81,85,95.29411764705883,450
astex,raw,s10_n100,46,81,85,95.29411764705883,460
astex,raw,s10_n100,47,81,85,95.29411764705883,470
astex,raw,s10_n100,48,81,85,95.29411764705883,480
astex,raw,s10_n100,49,81,85,95.29411764705883,490
astex,raw,s10_n100,50,81,85,95.29411764705883,500
astex,raw,s10_n100,51,81,85,95.29411764705883,510
astex,raw,s10_n100,52,81,85,95.29411764705883,520
astex,raw,s10_n100,53,81,85,95.29411764705883,530
astex,raw,s10_n100,54,81,85,95.29411764705883,540
astex,raw,s10_n100,55,81,85,95.29411764705883,550
astex,raw,s10_n100,56,81,85,95.29411764705883,560
astex,raw,s10_n100,57,81,85,95.29411764705883,570
astex,raw,s10_n100,58,81,85,95.29411764705883,580
astex,raw,s10_n100,59,81,85,95.29411764705883,590
astex,raw,s10_n100,60,81,85,95.29411764705883,600
astex,raw,s10_n100,61,81,85,95.29411764705883,610
astex,raw,s10_n100,62,81,85,95.29411764705883,620
astex,raw,s10_n100,63,81,85,95.29411764705883,630
astex,raw,s10_n100,64,81,85,95.29411764705883,640
astex,raw,s10_n100,65,82,85,96.47058823529412,650
astex,raw,s10_n100,66,82,85,96.47058823529412,660
astex,raw,s10_n100,67,82,85,96.47058823529412,670
astex,raw,s10_n100,68,82,85,96.47058823529412,680
astex,raw,s10_n100,69,82,85,96.47058823529412,690
astex,raw,s10_n100,70,82,85,96.47058823529412,700
astex,raw,s10_n100,71,82,85,96.47058823529412,710
astex,raw,s10_n100,72,82,85,96.47058823529412,720
astex,raw,s10_n100,73,82,85,96.47058823529412,730
astex,raw,s10_n100,74,82,85,96.47058823529412,740
astex,raw,s10_n100,75,82,85,96.47058823529412,750
astex,raw,s10_n100,76,82,85,96.47058823529412,760
astex,raw,s10_n100,77,82,85,96.47058823529412,770
astex,raw,s10_n100,78,82,85,96.47058823529412,780
