dataset,id,s10_n100_raw_selected_index,s10_n100_raw_selected_rmsd,s10_n100_raw_oracle_rmsd,s10_n100_refined_selected_index,s10_n100_refined_selected_rmsd,s10_n100_refined_oracle_rmsd,s25_n40_raw_selected_index,s25_n40_raw_selected_rmsd,s25_n40_raw_oracle_rmsd,s25_n40_refined_selected_index,s25_n40_refined_selected_rmsd,s25_n40_refined_oracle_rmsd
astex,1g9v,26,1.503022127532022,1.2457506725166911,26,1.449781695863231,1.015488819483929,26,1.4079565240538519,1.1054370710947683,26,1.3658429999840043,1.034093294910315
astex,1gkc,75,1.040482370878268,0.7399608157251871,75,1.078850244007905,0.7188532891605076,24,0.9041212641926264,0.9041212641926264,24,0.8727527724212233,0.8727527724212233
astex,1gm8,19,3.586297612510348,2.2124039783816065,19,3.538521888603895,2.2318634039902956,25,2.229377365329746,2.229377365329746,25,2.219007198062587,2.219007198062587
astex,1gpk,84,4.30594754648992,2.2725180137815637,26,2.76951105141311,2.262293588429545,10,2.7691296026339973,2.267886258465549,10,2.7650799513971176,2.2659973620743226
astex,1hnn,89,1.01126126990398,0.4136937037272046,33,1.0117823064041966,0.4063009575105325,6,1.0035626038841345,0.4376880188915056,17,1.0056998701835262,0.430907070947772
astex,1hp0,36,2.3027756223651332,1.0346912255307121,38,2.166068111791484,0.7715301606483329,36,2.2535544288766576,0.9411314760350019,38,2.1680175110824496,0.7478083755494709
astex,1hq2,93,0.8946681264500479,0.3966721674779574,54,1.0485472695844387,0.3624959542451574,0,0.8608346592176923,0.3307904986849752,13,0.9552368560628337,0.3043537072743639
astex,1hvy,96,2.9894701391069707,1.695072301470171,90,1.663769672019925,1.663769672019925,13,2.716141281501675,1.8959609923271339,3,2.3309376900591845,1.864850194326305
astex,1hwi,61,0.807661233512334,0.807661233512334,42,0.7954483239412956,0.7954483239412956,5,1.1129603529478918,1.1129603529478918,5,1.1163805078090308,1.1163805078090308
astex,1hww,86,0.45104113420266384,0.3617672245016866,34,0.5033159655127857,0.46574845733605313,37,0.48415484633522554,0.44020599599395827,34,0.5002125183407866,0.4826839257965306
astex,1ia1,43,0.43112831104805927,0.43112831104805927,43,0.38522820276473335,0.38522820276473335,20,0.7631685570895647,0.7631685570895647,9,0.42848399583154234,0.42848399583154234
astex,1ig3,61,2.0742246597284786,0.9410420276099092,61,2.0370728044374835,0.9179451750648839,9,1.0054853328304598,1.0054853328304598,9,0.9938755369331301,0.9938755369331301
astex,1j3j,77,0.3865277631288075,0.3865277631288075,77,0.4438421429993724,0.4397506492720337,30,0.575716459180691,0.5422569875566041,30,0.4524643665403707,0.4524643665403707
astex,1jd0,35,0.9381661253082937,0.9381661253082937,73,1.1117849829367363,0.9381241157281456,35,0.9876749552099302,0.9875729989513258,35,0.9812892376134282,0.9812892376134282
astex,1jje,87,8.015159726882763,0.6199550223491044,58,1.069900968736574,0.5834824120193884,6,0.5987590461468062,0.5987590461468062,14,1.397747218940727,0.5733940298415837
astex,1jla,25,0.5881960826324367,0.5881960826324367,25,0.5764066709212607,0.5764066709212607,25,0.5711527747427892,0.5711527747427892,20,0.6760083582768265,0.5680305401220238
astex,1k3u,42,0.3310641966167947,0.3310641966167947,45,0.719550570282397,0.3733668015127595,3,1.093862738427286,0.8917995085014255,26,1.6667647522569393,0.7624294446975435
astex,1ke5,89,1.1026056057115379,0.24097912635325153,68,0.33448550265950144,0.33448550265950144,22,0.2557172304281973,0.2557172304281973,22,0.384916044419586,0.384916044419586
astex,1kzk,94,1.6574307732901485,1.313944127811041,94,1.7154831100723469,1.416478508660313,23,1.8622115436202684,1.6988375559318385,6,1.5858964697187785,1.5858964697187785
astex,1l2s,37,1.862782816369093,1.2776406199351076,37,1.9040146767611088,1.2535102175068755,37,1.8953430051527573,1.2573354849192453,37,1.9648374176102588,1.2454255713221756
astex,1l7f,57,2.8285370209334864,1.133024693067145,87,1.3557940517812779,1.112702001004623,10,2.6538284816485125,1.3181466595479925,11,1.1392535257714989,1.1392535257714989
astex,1lpz,50,2.597166070221989,1.1578800309788126,50,2.5519200064742944,1.2688769225865595,35,1.1690132180287827,1.1690132180287827,35,0.8336050370080351,0.8336050370080351
astex,1lrh,36,0.8170457066642917,0.5346850393810765,36,0.8270560250296237,0.4925484766190764,36,0.8161744581658825,0.38612312088031586,36,0.8275447589832173,0.3958737761911401
astex,1m2z,44,0.6486877597308744,0.6319967541457163,28,0.6267475036579648,0.6088046735143089,28,0.5897587665454839,0.5897587665454839,28,0.5913428783907453,0.5913428783907453
astex,1meh,67,3.597311015257131,1.7769765550822514,8,1.4717681106631186,1.4312975422512653,13,3.4919360856206825,1.7749462717582674,8,1.546415836074837,1.4700427038864154
astex,1mmv,93,1.489479254467682,0.9068121192528432,93,1.5568871622792777,0.9051752953422452,29,1.7213563076326577,1.1392336432709553,25,1.8036527616221525,0.9742363482256025
astex,1mzc,67,4.237902212531091,2.941837898854773,93,4.7097681775752065,3.1134837021321764,35,7.549166219717888,3.3923813958978415,35,7.493309051862665,3.2939011952882193
astex,1n1m,81,0.6550845049783569,0.6032590877769954,52,0.7053377854410751,0.5413705508466721,19,0.7867716108007984,0.7867716108007984,6,0.9614522088852135,0.7614414182920426
astex,1n2j,21,1.5411125398388423,0.6054683391434931,21,1.5184758301175256,0.5860295606660487,21,1.5560786234989166,0.619979378100199,21,1.541819007754574,0.6106367013512217
astex,1n2v,27,0.5563457908014385,0.4562334596615717,43,0.5381736858055837,0.4550870452463435,27,0.5555092626572771,0.45639440873190507,27,0.5758211000748198,0.4429542440419615
astex,1n46,78,0.31384620788812584,0.31384620788812584,78,0.32686026023964404,0.32686026023964404,37,0.6340147862810489,0.3949733026063676,37,0.5995601007514296,0.36586583370756326
astex,1nav,45,0.5483276355521477,0.44734524570654505,83,0.4869354916425423,0.4752372420839748,28,0.4419750561001186,0.4419750561001186,28,0.4842993696377691,0.4842993696377691
astex,1of1,88,0.5685298772293316,0.33153209393162364,54,0.33881121982246226,0.33881121982246226,9,0.437597009943374,0.437597009943374,9,0.3154061390915313,0.3154061390915313
astex,1of6,20,0.6738899520923264,0.2519046495906473,65,0.4851200241330721,0.44769355985465337,24,0.4743251126821816,0.32697163389873446,24,0.557422474356252,0.4513439806039246
astex,1opk,3,0.29749905564036877,0.26088290167560896,52,0.43375791297984095,0.2900828502738137,3,0.30646463268358753,0.30646463268358753,3,0.4090745346810586,0.4090745346810586
astex,1oq5,10,1.3796149719717847,0.4817138945771834,42,0.7162069591126795,0.4106280440592366,7,1.167155468540455,0.4299609484159067,7,1.07431203177577,0.40809341308776764
astex,1owe,49,0.5060843411633648,0.5060843411633648,56,0.6439865499942482,0.500951220744821,13,1.4066402166596823,0.6706477552184051,13,1.4163699417949263,0.6675715577797722
astex,1oyt,65,0.3392375388289792,0.3392375388289792,52,0.46115525911027644,0.3036867350112168,30,0.40026935643321776,0.40026935643321776,22,0.503029151886821,0.377736632940246
astex,1p2y,92,1.4346957143826402,1.0358223076137862,84,4.714555851481399,1.0862905746730014,18,1.9557578640711186,0.908542300133817,31,4.966215743221573,0.9933291915616793
astex,1p62,45,0.7410895233681197,0.3571244435494306,42,0.3834893038050661,0.3834893038050661,26,0.9046116581168306,0.4873804139379414,26,0.9627832153047953,0.4853825564111189
astex,1pmn,77,0.9617959117517814,0.9303061470825156,75,1.579955645544057,0.8229431067105479,12,1.4888202253349003,0.8308772397476829,34,1.015396389194028,0.7244955386573313
astex,1q1g,16,1.0028713881522349,1.0028713881522349,6,1.6129772701240912,0.9762470305311984,12,1.5450211263396698,0.8331073104465786,16,0.8039358507239968,0.8039358507239968
astex,1q41,62,0.5325659343879384,0.4647614482460573,30,0.5885981065036431,0.5885981065036431,30,0.526581599274945,0.526581599274945,30,0.6576068548946591,0.6576068548946591
astex,1q4g,37,0.5814661682363336,0.3318107740061695,88,0.5682243848068078,0.36533162281688353,37,0.5807375185093592,0.30003223714459676,24,0.3622018473888715,0.3250926298099915
astex,1r1h,18,1.7824478064811566,1.0178271498764249,53,1.089011342078033,1.0547987441953528,18,1.7311484646487896,1.0616465827164503,25,0.9693993465366848,0.9693993465366848
astex,1r55,50,1.0653396351267683,0.8550232391138104,50,1.056194985569402,0.8746160010253003,17,1.4358833800568471,1.328043580563806,17,1.4757965323726259,1.176123897168678
astex,1r58,77,2.062951271945212,1.2822750911090626,10,1.3144624412643802,1.1571798184211297,10,1.2484939332359635,1.1453507106338332,10,1.2382011561904644,1.1805515708279553
astex,1r9o,33,1.7787381338152077,1.1663995480496436,99,1.6865225483728699,0.8679343656052668,7,2.019835867865609,1.2203939650432147,7,1.9160189737591722,1.1154720382482686
astex,1s19,66,0.7976881914290929,0.7976881914290929,67,0.9260866384885996,0.7281212448042076,18,1.0085013400412879,0.9411292150140812,18,1.0354057685876015,0.9523675515391385
astex,1s3v,62,1.125328287458908,0.9414034984877616,74,0.9016137856309658,0.8808296744255741,12,1.1057342582301906,1.1057342582301906,12,1.0778631885660057,1.0778631885660057
astex,1sg0,74,7.315806931926931,0.9080192023173145,42,1.1687086080394986,0.8439515608882763,18,1.0468129606626626,1.0468129606626626,18,1.085471683839125,0.9460851332160596
astex,1sj0,83,1.5522041836047806,1.3818532641015955,72,1.4307497939502696,1.2861752130633013,39,5.367599043123818,1.3738344741112691,38,1.1526616819886228,1.1526616819886228
astex,1sq5,32,1.203676928256036,1.203676928256036,45,2.706202382542555,1.188002522213267,32,1.0430201445570373,1.0430201445570373,14,2.230099382200269,1.0627243333827594
astex,1sqn,49,0.3639071466534654,0.3639071466534654,49,0.3900711450234564,0.3900711450234564,3,0.5835251263498616,0.5835251263498616,3,0.57584117918137,0.57584117918137
astex,1t40,72,0.3759601171126641,0.3759601171126641,72,0.2789399737710327,0.2789399737710327,3,1.1439773006916067,1.067924931169659,26,0.6628437720407444,0.6628437720407444
astex,1t46,48,1.0058908763695313,1.0058908763695313,48,0.9436548529492249,0.9436548529492249,28,1.124693932213447,1.124693932213447,28,1.062041375428778,1.062041375428778
astex,1t9b,78,2.518390260101778,1.9557312835349823,78,2.558244631741208,1.5821308182807212,24,2.20399157478986,1.6529740021228025,26,1.572115925144812,1.3108192596104642
astex,1tow,33,0.9499108148891364,0.34453242612996426,86,0.9654131407543871,0.38918329485079284,33,0.9230928151233065,0.3087855102830429,33,0.9249450775545349,0.3635727530729777
astex,1tt1,34,0.9489570797575723,0.8727082097644956,59,3.745929394167429,0.9940380716882251,34,0.9786850042548938,0.9786850042548938,10,3.558866111786085,1.0378019518874044
astex,1tz8,29,0.9932219146537691,0.4169113473428459,29,0.9836695556747447,0.42593288349957276,29,0.8786510663242062,0.7883298470631678,29,0.8683423253518218,0.7517190748839062
astex,1u1c,7,0.4380578341583146,0.4380578341583146,71,0.5477551994871834,0.4619832601789485,2,0.4844765909968729,0.4844765909968729,2,0.5132699819077583,0.5132699819077583
astex,1u4d,13,0.6999616476516954,0.5911339736533004,20,0.740361569512045,0.6742471513456628,20,0.7074867755534385,0.6601356578842744,13,0.7544545361966246,0.7470868238752855
